id,landmarks,Usage
20096480b8b6fd8e,48,Private
3f3802f87d552495,556,Private
c06f3ce11741cf4f,556,Private
b7300dd4b23561e2,556,Public
c2e4be9dcb2c3982,556,Public
daa67f5d76a0d8e0,556,Private
5ffe2c82d11ff13e,556,Private
1fec6e3c75f55608,556,Private
a1d74de3bf1eb2e1,556,Public
5b123b449c542f50,556,Public
f6ef7e3966b0f4d7,556,Private
3249b3566d1e8b09,1174,Private
375c3a01b36c078e,1174,Public
19acdd8913a834bb,1174,Public
eb46d20f56a7b169,2053,Private
6bb33f7ba08f6702,2220,Private
e9dee8779a7143be,2220,Private
198d5a6b32a9738e,2220,Private
c7a06f76fa742c9f,2220,Private
9bdc4f4fc161e166,2220,Private
af5b38ccb456a2bb,2247,Private
c9a126c4cc47cf96,2247,Public
e2ba2eba03966489,2247,Private
87ed68a91187555f,2247,Private
1dd6080b5e6fd781,2247,Private
1a1e9c769e198f80,2247,Private
9e19bd9642e6861b,2247,Public
4288c2ea3711cfab,2473,Private
784d4e8bab582f2d,2586,Private
3344418cea691f2f,2586,Public
dae09052862e0296,2872,Private
d9921fd105b56e31,2872,Public
0c3db1c240e7bdc8,3092,Private
d6d206bbeb322b9c,3092,Private
426925fbb0f3b731,3092,Public
aa549197064dd9e6,3092,Private
470cbb836febde0c,3092,Private
e9092dc3ebe645b3,3092,Public
57658db6a73e571c,3232,Private
fd8505ef3a3dcbcb,3533,Private
11319ee9e782792e,3705,Public
d0286eb23e686b38,3870,Private
e61b134fb842b865,3887,Private
e4403722dad6702a,4072,Private
f77687b83ee5482f,4072,Private
b7ab603e4a702734,4072,Private
bad809f9ba9bb5a3,4072,Private
d42f184ea786e9aa,4072,Private
76f6a1ad75de0c8d,4072,Private
88a84946fbf5d389,4072,Private
cf3759783e729e2e,4072,Public
1bcc58b394bb413b,4177,Private
89ee451efa64d675,4987,Private
fb05304ae8b349ee,5292,Private
2fdd4c0bd86a959f,5522,Private
cb6f80060b11d169,6190,Public
bb59232ac04865fa,6190,Private
1f5748ec69df8da5,6363,Private
167cd5535e34c555,6664,Private
cd233e7310db4f3b,6720,Public
279855baeabc9386,6720,Public
38cc85322cd9bbd8,6798,Private
639831ba0ea7e7be,6798,Public
9e9018786049b73b,6798,Private
c1ac33094a72f22e,6798,Public
c7cd62c097e8fdee,6798,Private
bdcb1545f95a11e8,6798,Public
360b62ecf7b149fc,6798,Public
61539b1cd9fa8a20,6798,Private
2260d2c938c2adb2,6798,Public
f231a45b3e797e8e,6798,Public
0ff22436452d101e,7223,Private
9eea571c1a1769f1,7223,Private
a41f444a15512284,7428,Public
94d3bb6aa8b3e192,7931,Public
306ed2e633e3ffa3,7931,Private
42d639e03c17274e,7931,Private
19797ba5dec20551,7931,Private
4ea439dd013becc6,8078,Private
33098e79ad2aaa98,8078,Public
b831a55d487de41d,8078,Private
d92ff77f49c1d688,8078,Private
8e88d3c0e9f938fb,8198,Private
d20f29052236de45,8552,Private
98eec5dd6637f712,9173,Private
44bfce032c0d3add,9771,Public
ce05dbdb084368ea,9771,Private
a517b25cc470d439,9771,Private
db3b1d327d3fee6d,9771,Private
18c0c45ad50588ea,10532,Private
53efea6f5242299f,10532,Private
96830ea1ed4dcbc0,10532,Private
af3d69a1c029e1b9,10763,Private
6453ac87e82d79d2,10934,Private
f38e551406444d1c,10934,Private
c70c6ec1df9ecc1f,10934,Private
b00c1d84bb5a82f9,10934,Private
fbe1af0915721298,10936,Public
74dde46292e8d7db,11153,Private
07e8c513dff2738c,11356,Public
433afdfd4bfa3501,11362,Private
0446048f2818fe24,11362,Private
d2d4f96b5087ec10,11395,Public
c9998c89af7e9d3b,11755,Private
de494099b01dac71,11755,Private
24907bb79c9b423a,11755,Public
a2ff0e1f330ad833,11755,Private
2ea0c7bb4a908a9c,11755,Private
c29faedf317ec6c4,11755,Public
1becea751810ded9,11868,Public
9bd26644150e5717,11868,Private
ee9e39b1f3ddfd02,11868,Private
75788e295f380f7b,11868,Private
b68ad17173806184,11868,Public
f1b799731b897930,11868,Private
bdd6d17ff5cc5a86,11868,Public
bd0fa2953983a116,11868,Public
c951aba9bf9997f3,11868,Private
2fcc6cd66fb51054,11868,Private
006420adce119990,11890,Private
4a8baaad22964fb5,12151,Public
