id,landmarks,Usage
ttt_1000_0,203093,Public
ttt_1000_1,203093,Public
ttt_1001_0,203094,Public
ttt_1001_1,203094,Public
ttt_1003_0,203095,Public
ttt_1003_1,203095,Public
ttt_1004_0,203096,Public
ttt_1004_1,203096,Public
ttt_1005_0,203097,Public
ttt_1005_1,203097,Public
ttt_1006_0,203098,Public
ttt_1006_1,203098,Public
ttt_1007_0,203099,Public
ttt_1007_1,203099,Public
ttt_1008_0,203100,Public
ttt_1008_1,203100,Public
ttt_1009_0,203101,Public
ttt_1009_1,203101,Public
ttt_100_0,203102,Public
ttt_100_1,203102,Public
ttt_1010_0,203103,Public
ttt_1010_1,203103,Public
ttt_1011_0,203104,Public
ttt_1011_1,203104,Public
ttt_1012_0,203105,Public
ttt_1012_1,203105,Public
ttt_1013_0,203106,Public
ttt_1013_1,203106,Public
ttt_1014_0,203107,Public
ttt_1014_1,203107,Public
ttt_1015_0,203108,Public
ttt_1015_1,203108,Public
ttt_1016_0,203109,Public
ttt_1016_1,203109,Public
ttt_1017_0,203110,Public
ttt_1017_1,203110,Public
ttt_1018_0,203111,Public
ttt_1018_1,203111,Public
ttt_1019_0,203112,Public
ttt_1019_1,203112,Public
ttt_1020_0,203113,Public
ttt_1020_1,203113,Public
ttt_1021_0,203114,Public
ttt_1021_1,203114,Public
ttt_1022_0,203115,Public
ttt_1022_1,203115,Public
ttt_1023_0,203116,Public
ttt_1023_1,203116,Public
ttt_1024_0,203117,Public
ttt_1024_1,203117,Public
ttt_1025_0,203118,Public
ttt_1025_1,203118,Public
ttt_1026_0,203119,Public
ttt_1026_1,203119,Public
ttt_1028_0,203120,Public
ttt_1028_1,203120,Public
ttt_1029_0,203121,Public
ttt_1029_1,203121,Public
ttt_102_0,203122,Public
ttt_102_1,203122,Public
ttt_1030_0,203123,Public
ttt_1030_1,203123,Public
ttt_1031_0,203124,Public
ttt_1031_1,203124,Public
ttt_1032_0,203125,Public
ttt_1032_1,203125,Public
ttt_1033_0,203126,Public
ttt_1033_1,203126,Public
ttt_1035_0,203127,Public
ttt_1035_1,203127,Public
ttt_1037_0,203128,Public
ttt_1037_1,203128,Public
ttt_1039_0,203129,Public
ttt_1039_1,203129,Public
ttt_103_0,203130,Public
ttt_103_1,203130,Public
ttt_1040_0,203131,Public
ttt_1040_1,203131,Public
ttt_1041_0,203132,Public
ttt_1041_1,203132,Public
ttt_1043_0,203133,Public
ttt_1043_1,203133,Public
ttt_1044_0,203134,Public
ttt_1044_1,203134,Public
ttt_1046_0,203135,Public
ttt_1046_1,203135,Public
ttt_1047_0,203136,Public
ttt_1047_1,203136,Public
ttt_1048_0,203137,Public
ttt_1048_1,203137,Public
ttt_1049_0,203138,Public
ttt_1049_1,203138,Public
ttt_1050_0,203139,Public
ttt_1050_1,203139,Public
ttt_1051_0,203140,Public
ttt_1051_1,203140,Public
ttt_1052_0,203141,Public
ttt_1052_1,203141,Public
ttt_1053_0,203142,Public
ttt_1053_1,203142,Public
ttt_1054_0,203143,Public
ttt_1054_1,203143,Public
ttt_1055_0,203144,Public
ttt_1055_1,203144,Public
ttt_1056_0,203145,Public
ttt_1056_1,203145,Public
ttt_1057_0,203146,Public
ttt_1057_1,203146,Public
ttt_1058_0,203147,Public
ttt_1058_1,203147,Public
ttt_1059_0,203148,Public
ttt_1059_1,203148,Public
ttt_105_0,203149,Public
ttt_105_1,203149,Public
ttt_1060_0,203150,Public
ttt_1060_1,203150,Public
ttt_1061_0,203151,Public
ttt_1061_1,203151,Public
ttt_1062_0,203152,Public
ttt_1062_1,203152,Public
ttt_1063_0,203153,Public
ttt_1063_1,203153,Public
ttt_1064_0,203154,Public
ttt_1064_1,203154,Public
ttt_1065_0,203155,Public
ttt_1065_1,203155,Public
ttt_1066_0,203156,Public
ttt_1066_1,203156,Public
ttt_1067_0,203157,Public
ttt_1067_1,203157,Public
ttt_1068_0,203158,Public
ttt_1068_1,203158,Public
ttt_1069_0,203159,Public
ttt_1069_1,203159,Public
ttt_106_0,203160,Public
ttt_106_1,203160,Public
ttt_1070_0,203161,Public
ttt_1070_1,203161,Public
ttt_1071_0,203162,Public
ttt_1071_1,203162,Public
ttt_1072_0,203163,Public
ttt_1072_1,203163,Public
ttt_1073_0,203164,Public
ttt_1073_1,203164,Public
ttt_1074_0,203165,Public
ttt_1074_1,203165,Public
ttt_1075_0,203166,Public
ttt_1075_1,203166,Public
ttt_1076_0,203167,Public
ttt_1076_1,203167,Public
ttt_1077_0,203168,Public
ttt_1077_1,203168,Public
ttt_1078_0,203169,Public
ttt_1078_1,203169,Public
ttt_1079_0,203170,Public
ttt_1079_1,203170,Public
ttt_107_0,203171,Public
ttt_107_1,203171,Public
ttt_1080_0,203172,Public
ttt_1080_1,203172,Public
ttt_1082_0,203173,Public
ttt_1082_1,203173,Public
ttt_1083_0,203174,Public
ttt_1083_1,203174,Public
ttt_1084_0,203175,Public
ttt_1084_1,203175,Public
ttt_1086_0,203176,Public
ttt_1086_1,203176,Public
ttt_1087_0,203177,Public
ttt_1087_1,203177,Public
ttt_1088_0,203178,Public
ttt_1088_1,203178,Public
ttt_1089_0,203179,Public
ttt_1089_1,203179,Public
ttt_108_0,203180,Public
ttt_108_1,203180,Public
ttt_1090_0,203181,Public
ttt_1090_1,203181,Public
ttt_1092_0,203182,Public
ttt_1092_1,203182,Public
ttt_1093_0,203183,Public
ttt_1093_1,203183,Public
ttt_1094_0,203184,Public
ttt_1094_1,203184,Public
ttt_1095_0,203185,Public
ttt_1095_1,203185,Public
ttt_1096_0,203186,Public
ttt_1096_1,203186,Public
ttt_1097_0,203187,Public
ttt_1097_1,203187,Public
ttt_1098_0,203188,Public
ttt_1098_1,203188,Public
ttt_1099_0,203189,Public
ttt_1099_1,203189,Public
